Source,Target,attacked
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,0394396e6e8cf8d9f91de4269dfd2e8416b93b91cae6139057c7283b463e4bfa31,b
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,03957c801187ade4aaeee6ca1e3f23eeb7413a84558ff1f3543cb41f5f86da609a,a
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,039f01ad62e5208940faff11d0bbc997582eafad7642aaf53de6a5f6551ab73400,b
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,b
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,03a5fd566492a69f3653ca464c23d8678ec19634c440baa9a1366c9b39c89512cd,b
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,a
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,03b38f5fb693ae96fda9533c7ba45840c0afc4390544223a18dd676d858bfd5b15,b
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,b
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,03de5163824c2174f0f0094217dac8095800e5e421c4d70a236853523d820f3e77,b
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,b
0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,b
0207e84c3f26846744509c76cdd8215119d88e4e07b8f885f3657025fcb49bb728,03f443605e76840a654b19247240d98ac56d1b80ec069dc608bf98e3bb172b68ee,a
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,b
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,0206ee81d2906577e0f9217279eda8c08b86b44a2bd6a6f207947dcbce875be18c,b
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,0213f67b69faf7e4e8e45c030fa9b8caaa4ae475b0742d04ad51f93548c4c5b7f4,a
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,02170068e07c0ae6f5a144548c279ebc3e8b5da1e921255fb16ae7b39cea777522,a
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,0225313f6c76ba1fff4bb1d67e6333eb6b514dc7af60346f585cc7dd9ed7cc13f4,b
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,022a7809052db05fde648391a53aba82286e4a517cff1dd61d52cc58572f481a3b,a
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,0234c548106512a0b93b2555d2638bc2fed3e6b091f75298383356258996230d92,b
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,02356b8bc8e2972c401e3cf28379e246c4fd08e972666d4d9dc8b29cc10399f64c,a
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,02391075fbaff5b7daab0f7aa4ad8ad70e07764c853574f20a848235594490c6ac,b
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,024098e05cd67fc8b1dcd0edf0c12b441c1e1f0db3d953ea84229abc279e1079b2,a
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,0241c4cdf9b4f38b7e87fb2d5c243aee340b43e478970b5957066d14dde82214a4,b
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,0249c30c3aedc95d87e430f4b6c076049714c5b7ea536d4e4e1863c5ec8f73821c,a
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,025d3f013953c2f32f9cf27b1c66b6c25b915295983508ca1cde117d30f51d40cd,a
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5,b
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,026d9b9c8e55b435f117496e6a885fba7bf76530a5aa6f8f61304f84f9a31dda09,b
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,02705407cde2e485542ac068c449d8b2966d46c5506ecbc2ee1cedd549a6b5823e,b
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,02827a7ba367d10a29f0a178be878f737292889d1926b40301780d7e1402a90a72,a
